year,Country,Technology,Electricity Production [TWh],Installed Capacity [GW],Capacity Utilisation [%]
2020,CZ,Battery large,0.0,0.0,
2020,CZ,Biogas,0.0,0.31,0.0
2020,CZ,Biomass straw,0.0,0.31,0.0
2020,CZ,Biomass wood chips,0.25,0.31,9.2
2020,CZ,DSR,0.0,,
2020,CZ,Export,0.03,3.3,0.1
2020,CZ,Hard coal,0.0,1.2,0.0
2020,CZ,Hydro PSH,0.0,1.17,0.0
2020,CZ,Hydro ROR,1.91,1.09,20.0
2020,CZ,Import,16.92,3.3,58.5
2020,CZ,Lignite,0.0,7.93,0.0
2020,CZ,Natural gas,9.93,1.23,92.2
2020,CZ,Nuclear,31.85,4.04,90.0
2020,CZ,PV,2.4,2.05,13.4
2020,CZ,Wind onshore,0.87,0.34,29.2
2020,DE,Battery large,0.0,0.0,
2020,DE,Biogas,0.0,3.96,0.0
2020,DE,Biomass straw,0.0,3.96,0.0
2020,DE,Biomass wood chips,3.88,3.96,11.2
2020,DE,DSR,0.0,0.0,
2020,DE,Export,22.15,3.0,84.3
2020,DE,Hard coal,0.0,22.98,0.0
2020,DE,Hydro PSH,7.1,9.42,8.6
2020,DE,Hydro ROR,15.91,5.19,35.0
2020,DE,Import,1.37,3.0,5.2
2020,DE,Lignite,3.79,20.78,2.1
2020,DE,Natural gas,216.12,31.83,77.5
2020,DE,Nuclear,63.94,8.11,90.0
2020,DE,Oil,0.0,4.28,0.0
2020,DE,PV,45.85,50.76,10.3
2020,DE,Wind offshore,34.31,7.64,51.3
2020,DE,Wind onshore,123.32,53.84,26.1
2020,LT,Biogas,0.0,0.08,0.0
2020,LT,Biomass straw,0.0,0.08,0.0
2020,LT,Biomass wood chips,0.0,0.08,0.0
2020,LT,DSR,0.0,0.0,
2020,LT,Export,4.38,0.5,100.0
2020,LT,Hydro PSH,0.05,0.9,0.6
2020,LT,Hydro ROR,0.28,0.13,24.6
2020,LT,Import,0.0,0.5,0.0
2020,LT,Natural gas,13.93,1.83,86.9
